ID, Title, Dish-Type, Proteins, Carbs, Fats, Information-String, Sweetness, Saltiness, Sourness, Bitterness, Savoriness, Fattiness, Spiciness 
644218, Garlic & Spice Plantain Chips, side dish, 0.7g, 15g, 4g, plantains olive oil garlic powder paprika cumin cayenne pepper salt plantains olive oil garlic powder paprika cumin cayenne pepper salt plantains olive oil garlic powder paprika cumin cayenne pepper salt Preheat oven to 400F. Line a baking sheet with parchment paper or silicone mats. Cut off both ends of the plantains. Make a cut along the entire length of a plantain  and peel off the skin. Slice each plantain into thin slices. Dont worry if the slices are not perfect. Place the plantains in a medium-sized bowl. Mix in all the other ingredients and stir until everything is well incorporated. Place the plantain slices on the baking sheets in a single layer. Bake for about 15-20 minutes  flipping them at about the 8- or 9-minute mark. Because of the uneven heat distribution in my oven  I also like to swap the baking sheets between the top and bottom racks. Remove the chips from the oven when the edges turn into a nice golden brown color. , 100.0, 4.8, 0.0, 0.0, 0.0, 47.25, 1.8
639593, Classic Daiquiri Cocktail, beverage | drink, 0.25g, 15g, 0.06g, fresh lime juice lime wedge white rum simple syrup fresh lime juice lime wedge white rum simple syrup fresh lime juice lime wedge white rum simple syrup Combine all but the lime wedge with ice.Shake well.Strain. Serve up with a wedge of lime. , 100.0, 0.09, 0.0, 0.0, 0.0, 0.5, 0.0
716406, Asparagus and Pea Soup: Real Convenience Food, antipasti | soup | starter | snack | appetizer | antipasto | hor d'oeuvre, 11g, 35g, 8g, frozen asparagus evoo garlic onion frozen peas low sodium vegetable broth frozen asparagus evoo garlic onion frozen peas low sodium vegetable broth frozen asparagus evoo garlic onion frozen peas low sodium vegetable broth Chop the garlic and onions. Saute the onions in the EVOO  adding the garlic after a couple of minutes; cook until the onions are translucent. Add the whole bag of asparagus and cover everything with the broth. Season with salt and pepper and a pinch of red pepper flakes  if using.Simmer until the asparagus is bright green and tender (if you've thawed the asparagus it will only take a couple of minutes). Turn off the heat and puree using an immersion blender. Add peas (the heat of the soup will quickly thaw them) and puree until smooth; add more until it reaches the thickness you like.Top with chives and a small dollop of creme fraiche or sour cream or greek yogurt. , 100.0, 0.1, 0.0, 0.0, 0.0, 67.2, 0.0
652423, Moroccan Couscous and Chickpea Salad, side dish, 14g, 53g, 25g, black pepper canned chickpeas cayenne cinnamon couscous green onions ground ginger ground nutmeg lemon olive oil parsley unsalted pistachio nuts red diced bell pepper salt turmeric vegetable broth black pepper canned chickpeas cayenne cinnamon couscous green onions ground ginger ground nutmeg lemon olive oil parsley unsalted pistachio nuts red diced bell pepper salt turmeric vegetable broth black pepper canned chickpeas cayenne cinnamon couscous green onions ground ginger ground nutmeg lemon olive oil parsley unsalted pistachio nuts red diced bell pepper salt turmeric vegetable broth Heat broth and a teaspoon of salt and bring to a boil. Place couscous in a bowl and add broth.  Cover bowl to let couscous absorb liquid.After  5 minutes  remove cover and fluff couscous with a fork.In a large bowl  add the chickpeas  pistachios  red peppers  green onions and parsley and mix well. Add the zest and juice of the lemon and mix again. Add the spice mixture over the couscous and mix well. Taste  and add salt if needed. Let the salad marinate for an hour or so before serving. , 29.65, 91.24, 73.05, 67.17, 65.8, 100.0, 2.37
651729, Grilled Lemon Garlic Artichokes, side dish, 3g, 12g, 18g, fresh to 4 artichokes fresh thyme leaves garlic black fresh ground pepper fresh herbs such as rosemary kosher salt lemon lemon zest olive oil fresh to 4 artichokes fresh thyme leaves garlic black fresh ground pepper fresh herbs such as rosemary kosher salt lemon lemon zest olive oil fresh to 4 artichokes fresh thyme leaves garlic black fresh ground pepper fresh herbs such as rosemary kosher salt lemon lemon zest olive oil Place chopped thyme  lemon juice and zest and garlic in a glass bowl. Microwave on high heat for 30 seconds then let the herbs seep in the warm olive oil while you prepare the artichokes.Prepare a large pot with an inch of water at the bottom and a steamer rack. Prepare the artichokes. Have lemon wedges ready. If you want a nice presentation  use scissors to snip away the pointy tips of the artichoke leaves. As you trim the artichokes  rub the cut areas with juice from the lemon wedges to prevent the artichokes from turning brown. Use a vegetable peeler to cut away the thick outer layer of the artichoke stems. Trim the stems to 2 inches from the base of the artichoke. Cut off and discard the top 1/2 inch of the artichokes. Cut the artichokes in half. Use a strong metal spoon to scoop out the fuzzy chokes and the small inner artichoke leaves. Rub lemon juice all over the inside and exposed cut areas of the artichokes. Heat the water in the large pot with a steamer rack on high. When it comes to a boil  reduce the heat to medium high and place the artichoke halves  cut side down on the steam rack. Cover. Steam for 20 minutes or until you can easily pull off the outer leaves  and you can pierce the heart easily with a knife. The artichokes can be just a tiny bit less cooked than would be typically perfect for steamed artichokes  as you will be cooking them further on the grill.Prepare your grill for direct  high heat. Toss the artichokes in the garlic  lemon and thyme infused oil coating liberally. Sprinkle artichokes with salt and pepper. Place the artichoke halves cut-side-down on the grill grates. Cover  and grill for 5 to 10 minutes  until you have nice grill mark on the cut sides of the artichokes. , 8.58, 7.57, 100.0, 71.01, 6.93, 72.34, 0.0
716413, Oven Roasted Tomato Sauce, sauce, 1.04g, 6g, 14g, balsamic vinegar extra virgin olive oil fresh basil garlic grape tomatoes onion red couple of of pepper flakes salt and pepper balsamic vinegar extra virgin olive oil fresh basil garlic grape tomatoes onion red couple of of pepper flakes salt and pepper balsamic vinegar extra virgin olive oil fresh basil garlic grape tomatoes onion red couple of of pepper flakes salt and pepper , 73.65, 31.24, 94.47, 24.01, 22.03, 100.0, 0.0
645988, Guacamole, antipasti | condiment | starter | snack | appetizer | dip | antipasto | hor d'oeuvre | spread, 2.19g, 10g, 15g, haas avocados onion jalapeno pepper fresh cilantro salt black pepper fresh lime juice fresh basil fresh oregano haas avocados onion jalapeno pepper fresh cilantro salt black pepper fresh lime juice fresh basil fresh oregano haas avocados onion jalapeno pepper fresh cilantro salt black pepper fresh lime juice fresh basil fresh oregano Cut the avocados in half lengthwise. Drive chef's knife into large pit and twist to remove.  Scoop the avocado out from the skin into a bowl. Mash the avocado with a fork  add in onion and cilantro  oregano and basil.. Mix to incorporate. Season to taste with salt  pepper and lime juice. Serve immediately or chill.  If you are not going to eat the guacamole immediately  store in refrigerator with plastic film wrap pressed onto the guacamole. , 7.57, 5.11, 0.0, 0.0, 0.0, 100.0, 7.875
640832, Crispy Rhubarb Pockets, side dish, 2.13g, 90g, 0.47g, diced rhubarb granulated sugar cornstarch salt vanilla extract diced rhubarb granulated sugar cornstarch salt vanilla extract diced rhubarb granulated sugar cornstarch salt vanilla extract Combine the diced rhubarb sugar  the cornstarch and salt in a medium saucepan and place over medium-low heat. Cook  stirring occasionally  until the rhubarb releases its liquid and begins to breakdown  creating a thick  chunky sauce  about 10 minutes. Remove the pan from the heat and stir in the vanilla extract. Set aside to cool to room temperature. Layer 4 phyllo sheets  brushing each with melted butter. Meanwhile  preheat the oven to 350 degrees F. Now let us cut four 4-inch squares from phyllo stack. Place 2 teaspoons of filling in center of square. Brush phyllo from edge of filling to each point of square lightly with water. Gather points of square and pinch together just above filling. Brush pouch with butter. Repeat process for all 4 pouches. Place filled pouches at least 1 apart on ungreased cookie sheet or baking pan. Bake in preheated 350F oven for 12 to 15 minutes or until golden brown. Take the pouches out and let them cool on wire rack for ~5 minutes. Serve warm or at room temperature. , 100.0, 3.38, 92.24, 20.06, 2.43, 1.48, 0.0
631841, 15 Minute Healthy Dark Chocolate Truffles, side dish, 2.43g, 11g, 7g, dried dates slivered almonds pecans cocoa powder vanilla extract agave nectar sea salt water optional: coconut flakes dried dates slivered almonds pecans cocoa powder vanilla extract agave nectar sea salt water optional: coconut flakes dried dates slivered almonds pecans cocoa powder vanilla extract agave nectar sea salt water optional: coconut flakes Soak the dates in hot water while you get the rest of the ingredients and start on step 2 (about 5 minutes). The water should be hot to the touch but not hot enough to burn you. Process the almonds in a food processor until coarse almond meal is formed. Add the pecans and process until they are ground up into a coarse meal as well. Drain the dates and use your hand to squeeze out excess water. Add the drained dates  cocoa powder  vanilla extract  agave nectar  and salt to the food processor. Process until a smooth paste forms. Use a tablespoon measure to help you form the truffles. Pack a heaping tablespoon of the mixture into the tablespoon measure  really pack it in there. Use your fingers to slide the half-rounded ball out of the tablespoon measure  and then use your hands to form a tightly packed ball of truffle goodness. Be gentle with them  I found that they fall apart if you try to roll them into balls. It is best to squish them with your hand into perfect little spheres. Form truffles until you use up all the mixture. The last bit that was not enough for a truffle went straight into my mouth. :) If you choose to  gently roll the truffles in the toppings of your choice. I had some turtle crunch sprinkles  unsweetened coconut flakes  and extra cocoa powder. The cocoa powder definitely gives the the truffles an extra dark chocolate kick  so if you dont like the bitterness of the cocoa powder then dont use that as a topping. , 100.0, 21.91, 25.5, 24.45, 28.53, 62.23, 0.0
640062, Corn Avocado Salsa, antipasti | condiment | starter | snack | appetizer | dip | antipasto | hor d'oeuvre | spread, 5g, 26g, 16g, avocado balsamic vinegar cumin canned frozen corn garlic red bell pepper avocado balsamic vinegar cumin canned frozen corn garlic red bell pepper avocado balsamic vinegar cumin canned frozen corn garlic red bell pepper Preheat oven to 375 degrees. Spread corn flat on a baking sheet.Spray lightly with olive oil spray.Roast corn in the oven for about 8-10 minutes. (Be careful not to brown too much or burn.) Remove from heat and allow to cool.Finely chop red pepper and garlic and mix in a bowl.Peel and coarsely chop avocado and add to bowl. Add cooled corn. Mix in cumin and vinegar and blend well. , 14.92, 0.09, 0.0, 0.0, 0.0, 100.0, 0.2975
646524, Healthy Vegan Red Velvet Brownies, dessert, 5g, 33g, 5g, almond extract apple sauce baking powder baking soda cooked beets brown sugar cocoa powder ground flaxseed red kidney beans salt vanilla extract almond extract apple sauce baking powder baking soda cooked beets brown sugar cocoa powder ground flaxseed red kidney beans salt vanilla extract almond extract apple sauce baking powder baking soda cooked beets brown sugar cocoa powder ground flaxseed red kidney beans salt vanilla extract Preheat oven to 350 F.Spray an 8x8 inch pan with cooking spray. Set aside.In a food processor  puree kidney beans and beets. Transfer to a large bowl. Add remaining ingredients and mix by hand until smooth and fully combined.Fold batter into the greased pan. Bake for 35-40 minutes  turning the pan halfway through.When the brownies are done  test them with a toothpick. You want some batter to cling to the toothpick. Do not over bake. Let cool completely. Refrigerate for one hour. Cut into squares or use cookie cutters to make heart shapes. , 100.0, 0.81, 0.0, 0.0, 0.0, 23.45, 0.0
661066, Spicy Cilantro Pesto, condiment | dip | sauce | spread, 1.03g, 1.02g, 10g, mild chili powder fresh cilantro garlic olive oil pepitas sea salt mild chili powder fresh cilantro garlic olive oil pepitas sea salt mild chili powder fresh cilantro garlic olive oil pepitas sea salt Place cilantro in food processor. Pulse until well chopped. Add garlic  sea salt  pepitas  and chili powder. Chop well.Using an attachment for adding liquids  add olive oil drop by drop to the running food processor to form a thick paste. Scoop paste into pint jars and store in fridge or freezer. , 1.01, 4.87, 0.0, 0.0, 0.0, 100.0, 0.0
645730, Grilled Guacamole with Pistachios, antipasti | condiment | starter | snack | appetizer | dip | antipasto | hor d'oeuvre | spread, 5g, 16g, 33g, split avocados cumin split ear of corn fresh cilantro garlic red ground pepper black fresh ground pepper split jalapeño peppers lime olive oil to brush vegetables onion pistachios salt diced tomatoes split avocados cumin split ear of corn fresh cilantro garlic red ground pepper black fresh ground pepper split jalapeño peppers lime olive oil to brush vegetables onion pistachios salt diced tomatoes split avocados cumin split ear of corn fresh cilantro garlic red ground pepper black fresh ground pepper split jalapeño peppers lime olive oil to brush vegetables onion pistachios salt diced tomatoes Lightly brush the avocado flesh  corn  onion  and jalapeno peppers with olive oil. Place all but the avocado in a grill basket and on the grill over medium-high heat. Place the avocados  cut side up  directly on the grill and cook for 2 minutes  then flip and cook  cut side down  for another 2 minutes. When finished  remove and set aside.Allow the other vegetables to cook  turning  until they are tender and lightly charred (10-12 minutes). The corn may take a few minutes longer than the other vegetables. If needed  remove the other vegetables and allow the corn to continue to cook.When the vegetables have cooled enough to touch  cut the corn off the cob  and dice the other vegetables.In a large bowl  combine the tomatoes  corn  onion  peppers  garlic  and cilantro  and toss to mix. Add the avocado to the mixture  lightly tossing and mashing it. Add the lime juice and seasoning. Mix together and adjust as needed. Add the pistachios  toss the mixture again and serve. , 23.71, 18.56, 21.77, 9.23, 8.15, 100.0, 18.7
652750, Mussels & Clams in White Wine {Cozze e Vongole}, antipasti | starter | snack | appetizer | antipasto | hor d'oeuvre, 1.93g, 9g, 4g, cherry tomatoes chili flakes fresh parsley garlic olive oil salt white wine cherry tomatoes chili flakes fresh parsley garlic olive oil salt white wine cherry tomatoes chili flakes fresh parsley garlic olive oil salt white wine In a large frying pan on low heat add 3-4 glugs of olive oil and slowly cook the garlic until brown all over. Remove & discard the garlic (if you like it  leave it in.)Turn the heat up  add in chili flakes & clams - cook about 30 seconds to 1 minute. Then add in the mussels. Turn up the heat and toss in the cherry tomatoes  sauteing for a moment or two.Next add a half glass of white wine and cover. Allow to sit covered 1-2 minutes at most until the shells open.  Then shut off the heat  add in your parsley. Finish with a bit of butter or good glug of olive oil.  Top with arugula if you like. Serve immediately with plenty of good crunchy bread to dip & white wine wine. , 62.67, 23.97, 100.0, 33.93, 21.12, 20.65, 0.0
798956, Mango Banana Coconut Smoothie, morning meal | brunch | beverage | breakfast | drink, 1.54g, 17g, 8g, frozen banana coconut milk dates frozen mango pieces turmeric water frozen banana coconut milk dates frozen mango pieces turmeric water frozen banana coconut milk dates frozen mango pieces turmeric water Prepare the banana the night before. Peel  slice  and place on a small parchment lined tray. Pop into the freezer.The same can be done with the mango  but I used frozen mango pieces for convenience.Toss all of the ingredients into a blender and blend until smooth  adding more water if necessary. If you like  add some freshly squeezed orange juice for a citrusy flavour. Serve cold. , 100.0, 21.91, 47.44, 55.59, 11.52, 65.27, 0.0
716218, Tomato and Eggplant Caponata, side dish, 1.8g, 11g, 5g, balsamic vinegar brown sugar capers cayenne celery curry powder eggplants fresh parsley garlic ground cumin black fresh ground pepper jalapeños kalamata olives olive oil onion sea salt sea salt tomatoes balsamic vinegar brown sugar capers cayenne celery curry powder eggplants fresh parsley garlic ground cumin black fresh ground pepper jalapeños kalamata olives olive oil onion sea salt sea salt tomatoes balsamic vinegar brown sugar capers cayenne celery curry powder eggplants fresh parsley garlic ground cumin black fresh ground pepper jalapeños kalamata olives olive oil onion sea salt sea salt tomatoes Place the eggplant cubes in a strainer and sprinkle with the salt. Let stand for 1 hour. Rinse and pat dry with a clean tea towel. Set aside. Heat 1 tablespoon of the olive oil in a medium heavy-bottomed saucepan over medium heat. When hot  add the onion  celery and garlic and saut for 5 to 10 minutes or until the vegetables are tender.Now add the tomatoes  jalapeos  cumin  curry powder and cayenne and simmer for another few minutes  stirring often. Next add the vinegar  capers  olives and brown sugar if using to the pan  Continue to simmer for another 5 to 10 minutes. Heat the remaining tablespoon of olive oil in a frying pan over medium heat. When hot  toss in the eggplant cubes and stir for 5 minutes or until lightly browned. Add the eggplant to the tomato mixture. Continue to simmer for another 10 minutes and taste for seasoning. Remove from heat and let cool to room temperature. Garnish with parsley and serve with flatbreads or toasted pitas. , 52.85, 100.0, 40.74, 39.93, 39.49, 65.63, 18.7
664147, Tuscan White Bean Soup with Olive Oil and Rosemary, lunch | soup | main course | main dish | dinner, 6g, 18g, 0.93g, bay leaf fresh rosemary garlic olive oil onion salt water white dried beans bay leaf fresh rosemary garlic olive oil onion salt water white dried beans bay leaf fresh rosemary garlic olive oil onion salt water white dried beans Rinse the beans thoroughly and place them in a 7-quart slow cooker along with the water  onion  garlic  and bay leaf. Cover and cook on LOW for about 8 hours  or until the beans are nice and tender. Remove the bay leaf. Using a handheld immersion blender  puree the remaining ingredients to the desired texture. Add the salt to taste.Ladle the soup into bowls. Drizzle with the olive oil  sprinkle with rosemary  and serve. , 100.0, 39.46, 9.01, 24.9, 3.33, 56.99, 0.0
